805,8250381843303
363,9965688609502
260,98530269040975
961,1956977053526
844,098055717581
154,94745151789274
766,8770768669793
367,55471793448305
130,17513618719536
201,17813753298398
728,7383289503578
294,04637149816676
868,3336195262772
917,1170551432841
134,44261185426387
378,5466055122887
499,74449219309935
803,6146026154116
557,8241689409242
787,8369306897916
881,2092142986177
975,55453810401
205,25242814852504
960,1783638336595
169,26474266325346
210,85255933778944
200,67362386624964
634,0463884356648
647,2462865441322
227,84540991291655
167,8409889823948
241,38578769675726
808,514336593223
551,997010115067
185,68285388577863
141,21015201891313
468,27637899773026
378,489997086809
787,6619830614244
935,6023712635982
438,73142858768415
135,7739469352057
387,45728442559823
490,7711532575875
234,73564268636315
105,26216984412734
713,9196890256925
784,0278819091748
146,58767110369524
788,6029359132997
774,9600603175163
174,39444613195698
296,9125463324192
497,8355269277634
427,1045761933106
353,9465339574714
385,53939818522866
521,3440816813819
820,3830611716877
159,33092752859505
171,73152113646805
861,3594030585882
708,7840917020962
574,4903482228938
562,2813847322396
493,17719904621003
905,3261630783445
866,4164887761774
682,6453089935916
599,4073671705124
113,59917265903167
465,0453427196691
508,05955163904446
949,1430013068687
505,4173387393436
303,6691450200366
569,4353986212217
570,0182326180014
201,7239150301199
745,4343894149337
445,9521738663093
388,0829724925957
699,1043192395495
145,99102447414353
717,0523720430455
725,1559248632547
844,6585070233133
384,48046434739626
391,80174848241813
913,6172166502183
854,3847512199472
135,09761983766109
149,76864587504818
689,4602582903859
821,8343848911275
372,9241954688561
933,1210764032421
120,0625884700858
350,32382354015664
440,3498051610542
